Tweets,hash,Score
full_text,hashtags,0
 rt 🔥🔥 dems4usa grassroots organization focusing 📌creating bluetsunami amp bluewave2020 📌electing joebiden…,"dems4usa,bluetsunami,bluewave2020,joebiden",0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt polish girl stirring speech trojan horse muslim refugee invaders poles support trump's immigration policy maga ht…,"trump,maga",1
 rt sorry but 20 years watching dems enable gop democratic speeches empty words biden,biden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt i want nomoreexcuses president i vote joebiden 157 days gojoe2020 freshtweets …,"nomoreexcuses,joebiden,gojoe2020,freshtweets",1
 rt i want nomoreexcuses president i vote joebiden 157 days gojoe2020 freshtweets …,"nomoreexcuses,joebiden,gojoe2020,freshtweets",1
 rt i want nomoreexcuses president i vote joebiden 157 days gojoe2020 freshtweets …,"nomoreexcuses,joebiden,gojoe2020,freshtweets",1
 rt i agree joebiden there nomoreexcuses change come voteblue record numbers so are…,"joebiden,nomoreexcuses,voteblue",1
 rt i agree joebiden there nomoreexcuses change come voteblue record numbers so are…,"joebiden,nomoreexcuses,voteblue",1
 rt we moment history rectify many wrongs and joebiden candidate hope i seriously can’t…,joebiden,1
 joebiden,joebiden,0
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",-1
 com antifa crookedhillary biden ukraine,"antifa,crookedhillary,biden,ukraine",0
 lol biden obama vp 8 years,"biden,obama,vp",1
 rt this worst advice possible subject no surprise comes joe biden guns joebiden po…,"guns,joebiden",-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt if watching joebiden right american president speaks like acts like encourages peo…,joebiden,1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 says pro abortion evil man joebiden,joebiden,-1
 rt those joebiden rallys past nights lot violent dangerous trump rally!,joebiden,-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 biden part problem! voteforbernie today primary! via,"biden,voteforbernie",-1
