created_at,full_text,hashtags,user_mentions
tue jun 02 15:35:12 +0000 2020, hay que acabar con los problemas desde la raíz que muera donald trump!!! donaldtrump pedofilos asesino gobiernocriminal,"donaldtrump,pedofilos,asesino,gobiernocriminal",
tue jun 02 15:35:12 +0000 2020, rt 🔥🔥 dems4usa grassroots organization focusing 📌creating bluetsunami amp bluewave2020 📌electing joebiden…,"dems4usa,bluetsunami,bluewave2020,joebiden",thesizzlereport
tue jun 02 15:35:12 +0000 2020, rt 🔥🔥 dems4usa grassroots organization focusing 📌creating bluetsunami amp bluewave2020 📌electing joebiden…,"dems4usa,bluetsunami,bluewave2020,joebiden",thesizzlereport
tue jun 02 15:35:12 +0000 2020, rt wegen trump forderung deutsche politiker von dielinke spd amp grüne solidarisieren sich mit antifa terroristen …,"trump,dielinke,spd,grüne,antifa,terroristen",blackdo04913777
tue jun 02 15:35:13 +0000 2020, rt polish girl stirring speech trojan horse muslim refugee invaders poles support trump's immigration policy maga ht…,"trump,maga",warrenwarmachi1
tue jun 02 15:35:13 +0000 2020, rt polish girl stirring speech trojan horse muslim refugee invaders poles support trump's immigration policy maga ht…,"trump,maga",warrenwarmachi1
tue jun 02 15:35:13 +0000 2020, since day one trump assaulted,trump,
tue jun 02 15:35:14 +0000 2020, rt kommentar was trump da macht ist widerlich trump usa kommentar floyd rassismus,"trump,usa,kommentar,floyd,rassismus",tagesschau
tue jun 02 15:35:15 +0000 2020, rt blood انجیل بدست همراه تیمش the storm way طوفان در راهست trump,trump,national_blood_
tue jun 02 15:35:16 +0000 2020, rt you know i go street there's trump sign size house i'm trump 💯 👍commonsense…,trump,"lybio,jimbreuer"
tue jun 02 15:35:16 +0000 2020, protest peacefully protest smart no rioting! you are winning! georgefloyd “the gentle giant ” be civil and…,georgefloyd,
tue jun 02 15:35:17 +0000 2020, rt weil da schon wieder welche von diktatur erzählen und von wegen ohne anfrage der bundesstaaten bricht trump die verfassu…,trump,luetzowq
tue jun 02 15:35:17 +0000 2020, pur di non candidare sanders dunque trump,"sanders,trump",
tue jun 02 15:35:17 +0000 2020, rt c'est curieux ce soudain engouement de tous les guignols de l'info française pour les usa du méchant trump les mêmes…,trump,cerdagnefrance
tue jun 02 15:35:18 +0000 2020, rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,omarbula
tue jun 02 15:35:18 +0000 2020, rt trump hat sich einem bunker im weißen haus vor protesten geschützt wir als deutsche können aus erfahrung sagen ab dies…,trump,heuteshow
tue jun 02 15:35:19 +0000 2020, america divide 2 nations easy thing fix justice system head toe trump blm georgefloyd,"trump,blm,georgefloyd",
tue jun 02 15:35:19 +0000 2020, america divide 2 nations easy thing fix justice system head toe trump blm georgefloyd,"trump,blm,georgefloyd",
tue jun 02 15:35:19 +0000 2020, rt trump die antifa als terroristische vereinigung verbieten lassen weil sie schuld den unruhen seien der tipp dafür…,trump,heuteshow
tue jun 02 15:35:19 +0000 2020, rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,omarbula
tue jun 02 15:35:19 +0000 2020, rt jani según 🇺🇸👎 el pentágono pide dimisión de trump!!! 🇺🇸👎 que tu crees civilwar2 trumpout2020 …,"trump,civilwar2,trumpout2020",dacosta_jani
tue jun 02 15:35:19 +0000 2020, rt jani según 🇺🇸👎 el pentágono pide dimisión de trump!!! 🇺🇸👎 que tu crees civilwar2 trumpout2020 …,"trump,civilwar2,trumpout2020",dacosta_jani
tue jun 02 15:35:20 +0000 2020, rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,omarbula
tue jun 02 15:35:22 +0000 2020, rt this police ease protest instead using violence americans follow trump…,trump,"moneyclub87,dannyalaba"
tue jun 02 15:35:22 +0000 2020, rt 13 everybody calling trump vindicated says never liked epstein lot bs coming mouth an…,"trump,epstein",snipper_13
tue jun 02 15:35:22 +0000 2020, rt trump alle mitgliederlisten der antifa geleakt wird nun durch eine weitergeleitete nachricht von federal research agency f…,trump,maikpi70
