words,sentiment_coeff
alllivesmatter,1.0681056858822158
r,-1.220581162036971
look_like,3.967769832928318
attendant,-1.4009823651704942
realdonaldtrump,1.1213060226796243
graduates,1.3122511838149777
but,1.9518632232186088
deranged,2.742834007883233
ignorant,2.914237616940216
incompetent,2.372976036454113
secretsbedar_thezogbypoll,-1.2659800984410787
country,2.5445314684237714
want,2.9470960098168812
law_order,1.9445957082863126
democrat,1.9970869820851482
playing,3.3459706154647044
dangerous,2.4859243677967897
guy,2.978008102940796
cut,3.070730318083665
london_today,1.9285457617911013
thing,2.4103935301822625
internet,1.511440871521543
alllivesmatte,-1.5573725967590715
https_/,-1.913431369529248
hrenee80,3.0574150148323205
absolutely,2.825530264847157
na,-1.6529267775774523
est,-1.4311647178237779
vo,-1.2499711406591798
thank,1.6724188644431826
everyone,2.214312022190672
supported,2.737899176743339
calling,2.4084236130637926
racism,1.7017130198179704
today,2.1189870733655094
never,2.254828761047922
sorry,2.976251023148571
born,3.080225476886863
green,2.0256253666941175
blue,2.9414181386895453
red,-1.4232488676059158
el,-1.6883338297822612
de_los,-1.8695113536824226
la_casa,-1.8999633581506472
blanca,-1.8429880695473955
maduro,-1.6822868717374575
de_la,-1.874605831844692
violencia,-1.964070061688476
en_las,-1.9255233409620043
protestas,-1.930453278285876
por_la,-1.898028292944788
george,-1.4273350463247085
work,2.916621118264909
america,1.401976748710777
people,1.8971198319230087
funded,1.9573888882532424
committed,3.0533004131611943
democrats,1.9097388951505447
races,2.536218735183532
first,3.237610160480601
female,2.550584802823358
president,1.1935199907265477
would,2.5778661031780783
get,1.941174317269557
u,1.498291939590496
back,2.70421447283288
voteblue,1.4462058973869878
not,2.057796030667129
twitter,-1.471207404379036
really,2.9720140544548808
gojoe,1.62356988408981
senatorcollins,2.4236291870322204
allowed,3.842816715486924
feed,3.544347253938251
american_people,2.751602673952412
months,2.4726905275358058
away,2.892590804253878
every_single,2.695372916084842
needs,2.354630093574269
retweet,2.047011157141442
important,1.8981864403562658
message,2.3514844239478863
spread_word,3.0851474991703816
must,3.173553195593355
increase,2.763986864968314
voter,2.5034288915092984
love,2.0424139860305046
bringing,3.6805908149436792
together,2.7830933640959077
covid19,-1.3101945569229092
blacklivesmatter,-1.143092223147773
georgefloydprotests,-1.1582249080210765
black,1.2573679371667785
officer,2.304254974892812
against,1.8209822308997912
stopping,1.5727770378524637
fellow,2.9541307785579445
equality,2.7186779214802415
begins,4.196302691788141
believe,2.6326098804003206
equal,1.5322989095667239
scenes,1.2247800422813013
city,2.042083554802198
near,1.4674723722137624
power,2.4033973404483104
baby,1.2735569313287791
killing,1.9062749329811846
died,1.512841174620821
due,1.2705312199002938
excessive,2.123213660370256
force,1.3910976305113303
/,-1.0723824598514884
police_brutality,2.3248663593549703
social_media,2.7713609408780955
followers,1.1304410960293172
friends,2.9677382684480444
name,2.722750443445571
27,1.618016226496689
mother,2.044419284951628
criminal,2.0451183781317623
dead,1.7271240406776336
line,3.6874023928973654
expected,2.61268117131716
black_lives,-1.018443456653676
matter,1.0265468124859354
stand,2.8249599221445436
movement,2.292100731618017
based,2.414458575485219
lies,2.749477705232181
hatred,2.0620911295615967
police,1.1069056573465783
stay,3.1539298664714956
help,1.4530871516801425
trend,2.771536123059447
situation,-1.3040746892797062
yemen,3.025551915206699
find,3.0704008400517746
worthy,2.9920867292728914
cause,1.2889125338947438
pl,-1.6007938846825807
easy,2.4912606229411036
say,2.0917579166447746
racist,2.000041299918626
anti_racist,1.8963703673880863
fact,3.122567257843724
person,2.0374492063444096
truth,2.36122156048622
spread,1.6093183486766771
wakeupamerica,-1.1917674775292473
trump2020,-1.012537126693699
votered,1.701134515532351
https_//t,-1.7384251201051542
70,2.1330900029508846
right,1.3249157013054411
certainly,4.032740107320927
use,2.013036296892093
along,2.7933276120471437
bots,-1.8477169721259101
avoid,2.8056097444130885
chaos,1.300379162341699
hat,-1.086013924229855
exposebillgates_greatawakening,-1.4080193414117002
wwg1gwa_riots,-1.335394870435995
seattleprotests_portlandprotest,-1.3434043290048854
seattleautonomouszone_gaming,-1.3808813937846578
joebidenisaracist,1.4655724729974717
joe,1.5568388078847168
pro,-1.21433374528081
churchill_statue,2.3169681752993507
london,1.1653190914179952
case,2.0485850171836115
support,1.9905656524097415
hate,2.224062065594626
wrote,2.496881587117036
bill,2.3279784445330525
put,2.963748079383758
blacks,2.1362223228895796
prison,2.796084637262191
law,3.2629616699244486
statues,1.5273776510929804
history,2.3574094559847945
culture,2.625730426612408
premierleague,2.506640538721591
kicked,1.7903571368424458
storm,2.553531089877051
shirts,2.447251563594897
every,2.9231004783252654
team,2.913036477746487
promote,2.4804895521735744
blm,1.0727089456584604
saturday,1.5359185294662083
quick,1.73999570025249
poll,1.5114687502955075
fast,1.7595318446636714
